tweet,sentiment,language,tag
Anong silbi ng schedule sa vaccination card kung kailangan mong magpalista ulit.!? may contact number nga wala naman nag text o tumawag!! #2nddoze #CovidVaccine #brgy160 #Caloocan https://t.co/cpu4fWGwHN,-1,tl,Regulasyon
"𝗩𝗔𝗖𝗖𝗜𝗡𝗘𝗦 𝗦𝗔𝗩𝗘 𝗟𝗜𝗩𝗘𝗦.❗💉 No more SANA ALL HAHAHAHAAHAH. Kudos to Belarmino Hub, wala pang 15mins tapos na ako. ❤ #magpaBakuna #QCProtektado #CovidVaccine https://t.co/TmrtTjf6D3",0,tl,Regulasyon
finally vaxxed with beshie @trish_issues 🩹💉#CovidVaccine #Astrazeneca #1stDose https://t.co/IeteV2ge2r,1,en,Quarantine
"today, i got my covid-19 vaccine 💉 fully vaccinated 🤘 tara gala HAHAHA #JohnsonAndJohnsonVaccine #GetVaccinated #CovidVaccine https://t.co/tEzJiXIkyB",-1,en,Quarantine
Finally got vaccinated against COVID-19. Fully vaccinated! Thanks to the staff of Mauban LGU Traffic for lifting and MHO Mauban for the assistance and hard work. #GetVaccinatedNow #ResBakuna #CovidVaccine https://t.co/fuWWHyE2FA,1,en,Quarantine
Yasss tuloy pa rin ang bakuna.. ❤️ #MANDAVAX #SafetyVax #CovidVaccine https://t.co/Cc551rBSSl,0,tl,Regulasyon
Kaway kaway mga ka SINOVAC #covidvaccine,0,tl,Balita
"My #firstdose of #covidvaccine 💉🦠 #bakunado #protektado #parañaqueño @ Merville Park Subdivision, Parañaque City https://t.co/AJuaV2zBFl",-1,tl,Regulasyon
1st dose ☑️ #CovidVaccine https://t.co/1SXB8WxB4P,-1,en,Quarantine
"Two and through, 2nd jab done. Now on to the dozen donuts 🍩! #RoadToZero #vaccine #covidvaccine #covid #covid_19 @ Vista Mall Taguig https://t.co/R9T9udDvYl",1,en,Quarantine
"The SHOT I’ve been waiting for! First dose done. If given the opportunity to get vaccinated, don’t hesitate and go for it! Protect yourself and your family. “The best vaccine is the one that is available” so alam nyo na. 😂 #qcprotektodo #getvaccinated #covidvaccine https://t.co/g60POxTdRq",1,en,Quarantine
"Manila, God first! ☝🏻 #OneStepCloser #CovidVaccine https://t.co/Do1cE7Exna",0,tl,Lakbay
Here are tips for those interested in #CovidVaccine Click the link https://t.co/lIU48jNGJi This is based on my experience at @MakatiMedicalCe TY @Mayora_Abby #Vaccinated #COVID19Vaccine #coronavirus #Covid_19 #BakunaMakati #PfizerVaccine #injecttoprotect #VaccineForAll #makati https://t.co/EK70YPssPl,-1,en,Quarantine
Mga gutom after ng vaccine haha @RutherIgnacio #sinovaclers #CovidVaccine https://t.co/xDYTdjRZAN,0,tl,Regulasyon
Sanay na tayo sa injection ses 😌 x di naman masaket 💉💦 x #MandaVax #CovidVaccine https://t.co/nTtl7WQHek,0,tl,Regulasyon
✔️ First dose. 💉 Get yours na din! #CovidVaccine ✨ https://t.co/c2ZCVSxswr,1,en,Quarantine
Shot happens. 💉💪😁 #1stDose #Pfizer . . . . . . . #Vaccine #RoadToZero #Covid19 #CovidVaccine #Pfizer #1stDoseDone #Bakunation #Resbakuna #VaccineShot #Vaccinated @ SM Center Sangandaan https://t.co/7iB8ppKklc,0,tl,Regulasyon
finally... fully vaccinated na Tito Badang ninyo!! #2ndDoseComplete #CovidVaccine @ Villa Susana Subdivision https://t.co/SSL4eDq5GT,0,tl,Balita
Hubby's 1st dose of sinovac vaccine... 💉💉 Salamat sa mga staff at volunteers sa mabilis na proseso... Salamat Mayor @rex_gatchalian Valenzuela Gov't. @valenzuelacity #BakunadongValenzuelano #CovidVaccine https://t.co/4MJPIXBqBW,0,tl,Balita
Finally got #Sinovaxed in Paranaque! #CovidVaccine #BestVaccineIsTheOneOnYourArm @ Ayala Malls Manila Bay https://t.co/IhxUyi2yZt,0,tl,Balita
"Fully vaxxed but not waxed! 🤣 Good job to our lgu, mabilis, maayos at malinis! 👍🏻 #CovidVaccine #COVIDVaccination https://t.co/nYqAB9kaw3",1,en,Quarantine
Thank you Lord! Done with my 1st dose 😊 #BlessedAndGrateful #CovidVaccine,1,en,Quarantine
A picture paints a thousand words however this says it all #COVID19 #CovidVaccine,-1,en,Quarantine
Look! Kung sino pa yung panay reklamo sa gobyerno sya pa yung unang nakinabang sa gobyerno! #Fishtea!!🙄 #COVIDVaccination #CovidVaccine #Philippines #Kakie anak ni Kikoe! 😅 https://t.co/Yr9hkc4gSy,0,tl,Balita
Look! Kung sino pa yung panay reklamo sa gobyerno sya pa yung unang nakinabang sa gobyerno! #Fishtea!!🙄 #COVIDVaccination #CovidVaccine #Philippines #Kakie anak ni Kikoe! 😅,0,tl,Balita
ayan... nabakunahan na Tito Badang niyo!!! #FirstDose #CovidVaccine @ Villa Susana Subdivision https://t.co/mx8OryHCQB,0,tl,Balita
"Thanks God Until now wala ako nararamdaman na side effect ng vaccine 🙏😁 Kaya pag pwede na, magpavaccine na din kayo 😁💉 #CovidVaccine #AstraZenaca",0,tl,Balita
"Better Days Are Coming 😁 Got My First Dose Of Covid Vaccine 💉 #VaccToTheFuture #Astrazeneca #CovidVaccine #PasayCity @ Pasay City, Philippines https://t.co/4cCmXOmxsn",1,en,Quarantine
Salamat po sa @QCGov at kay @officialqcmayor. Naka 2nd dose na po ng vaccine ang mga senior citizen kong magulang.😷💪👍❤ #qcprotektodo #protektodo #COVID19Vaccination #CovidVaccine #COVID19Vaccine #Sinovac https://t.co/54tbwxjWSb,0,tl,Regulasyon
Early morning queue for second dose of vax #CovidVaccine #GetVaccinated https://t.co/aEnT7QKy01,-1,en,Quarantine
"#CovidVaccine #Sinovac @ San Antonio, Parañaque https://t.co/rFBcNytOTO",0,tl,Regulasyon
Got my first dose of COVID-19 Vaccine today. #astrazeneca #resbakuna #covidvaccine #frontliner #covidnurse #covidwarriors #covid19 #coviddiary #covid19vacccine @ St. Vincent General Hospital https://t.co/rDzVyL5hhu,-1,en,Response
"Got my 1st dose of Sinovac vaccine today! I vlog my experience before, during and after the vaccination on my YT channel. Abangan nyo po yun. #Sinovac #CovidVaccine #bakuna #vaccine #COVID19Vaccine #FIGHTCOVID https://t.co/vl5B1tWT9H",-1,en,Response
New milestone! Nakakaproud naman maging parte ng covid vaccination team😊😊 #RESBAKUNA #CovidVaccine #Sinovac #CoronaVaccine https://t.co/5xfmomrWHr,0,tl,Lakbay
"Gin-anunsyo yana nga aga, September 28, 2021 han DOH8 na mayda 79 na bag-o na mga kumpirmado na COVID-19 na bag-o na mga kaso na kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 2 tikang Catbalogan City. #newcases #easternvisayas #covid19 #coronavirus https://t.co/ryJKz0stgY",0,tl,Balita
"#COVID19 #coronavirus @FauciFan @POTUS @DonaldJTrumpJr @MFA_China @WuhanLab_ @humansofwuhan @wuhanopentennis @visit_wuhan Thanks, Wuhan, for the lovely virus. https://t.co/DuK65qFMZ4",1,en,Response
"Gin-anunsyo yana nga aga, September 26, 2021 han Department of Health - Eastern Visayas na mayda 236 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 tikang Catbalogan City. #newcases #easternvisayas #catbalogancity #covid19 #coronavirus https://t.co/ei6YfHcI4k",0,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 38. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/vxgOMg6UUx,0,tl,Balita
"Gin-anunsyo yana nga aga, September 24, 2021 han Department of Health - Eastern Visayas na mayda 301 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 2 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/nleCb1XMtg",0,tl,Balita
"Gin-anunsyo kanina nga aga, September 22, 2021 han Department of Health - Eastern Visayas na mayda 206 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/RZttNLM482",0,tl,Balita
"Gin-anunsyo kanina nga aga, September 21, 2021 han Department of Health - Eastern Visayas na mayda 85 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/baxpanoNB4",0,tl,Balita
"Gin-anunsyo yana nga aga, September 20, 2021 han Department of Health - Eastern Visayas na mayda 124 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 6 hini tikang Catbalogan City. #newcases #easternvisayas #covid19 #coronavirus https://t.co/AatMulH0OW",-1,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 59. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/fUIhgC2RDg,0,tl,Balita
"Gin-anunsyo yana nga aga, September 18, 2021 han Department of Health - Eastern Visayas nga mayda 260 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 tikang Catbalogan City. #newcases #easternvisayas #catbalogancity #covid19 #coronavirus https://t.co/cYWDrgaWIF",0,tl,Balita
"Gin-anunsyo kanina nga udto, September 17, 2021 han Department of Health - Eastern Visayas na mayda 436 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso dinhi ha rehiyon. Ngan 12 tikang Catbalogan City. #newcases #easternvisayas #covid19 #coronavirus https://t.co/Q6BW0UnBPX",0,tl,Balita
"BREAKING: PH detects 633 additional cases of Delta, Beta, Alpha, P.3, and Gamma coronavirus variants, the Department of Health reports, with Delta substantially dominating the tally. It includes samples taken from a few months ago. @cnnphilippines",-1,en,Response
"PCpl Precioso B Buenafe conducted intensified infodemic drive under Coronavirus Awareness Response And Empowerment (C.A.R.E) program of the PNP at the Public Market in Brgy. Laang, Lagangilang, Abra wherein disseminated the importance of vaccine and safety against Covid-19. https://t.co/aOScl9UbSb",1,en,Response
"Grabe no? We are the only country that puts so much time, effort, and money in crafting a policy with regard to wearing the so-called additional layer of protection to the coronavirus aka face shield. Ang lala.",-1,en,Response
My New Profile Pic! #FastFoodChain #Stare #IseeYou #Friendship #Pampanga #FriendshipHighway #Chowking #Porac #Teeth #Ph #MyDaddy #Dada #Dad #Work #HighSchool #School #2019 #2020 #JuniorHighSchool #Jhs #Covid #Covid19 #Covid19Ph #CoronaVirus #Lockdown #BeforePandemic #Jollibee,1,en,Quarantine
"Gin-anunsyo yana nga aga, September 15, 2021 han Department of Health - Eastern Visayas na mayda 269 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso dinhi ha aton rehiyon. Ngan 1 tikang Catbalogan City. #newcases #easternvisayas #covid19 #coronavirus https://t.co/rDhPQ59Ci9",0,tl,Balita
"Gin-anunsyo kanina han aga, September 11, 2021 han Department of Health - Eastern Visayas na mayda 303 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 9 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/Uj8IB2h57D",0,tl,Balita
"Gin-anunsyo yana nga aga, September 10, 2021 han Department of Health - Eastern Visayas na mayda 241 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/YxJnVvHWkx",0,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 62. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/etzWCAPIJh,0,tl,Balita
"Gin-anunsyo yana nga aga, September 08, 2021 han Department of Health - Eastern Visayas na mayda 224 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/RfbzJuv67I",0,tl,Balita
"Thanks to the work of many, we now have vaccines to defend ourselves from contagious coronavirus variants. Getting vaccinated is a gesture of love and humanity that fosters common good. ❤️ #sinovaccinated #CalamBakuna",1,en,Response
"Gin-anunsyo kanina han udto, September 07, 2021 han Department of Health - Eastern Visayas na mayda 110 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 5 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas https://t.co/2TySHWxCRG",0,tl,Balita
Yan din yung sinabi niyo noong January 2020 bago tayo nalusutan ng coronavirus. All of these could have been prevented kung naging maagap kayo last year pa by issuing a travel ban before the virus got in here.,0,tl,Balita
"Gin-anunsyo yana nga aga, September 06, 2021 han Department of Health - Eastern Visayas na mayda 144 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 2 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayasn #catbalogancity https://t.co/1opmXlSC6i",1,tl,Balita
"COVID-19 RESBAKUNA SCHEDULE UPDATE PARA HAN MGA WARAY PA NAKA-KOMPLETO HAN IRA SECOND DOSE HAN SINOVAC NGAN ASTRAZENECA VACCINE SCHEDULE: September 06, 2021 TIME: 8:00am to 12:00nn SITE: Catbalogan Health Center #COVID19 #CoronaVirus #Resbakuna #CatbaloganCity #resbakuna2021 https://t.co/mGj5r5RwU6",0,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 58. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/irPPGZ3p0H,1,tl,Balita
"Gin-anunsyo yana nga aga, September 05, 2021 han Department of Health - Eastern Visayas na mayda 396 na bag-o na mga kumpirmado na #COVID19 na mga positibo na mga kaso ha rehiyon yana. Ngan 11 tikang Catbalogan City. #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/OZrHWGwzGM",0,tl,Balita
ILANG VARIANTS PA BA NG CORONAVIRUS ANG IPAPASOK NIYO RITO HA????,1,tl,Balita
"Gin-anunsyo yana nga aga, September 04, 2021 han Department of Health - Eastern Visayas na mayda 215 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/pwo5jHWLdb",0,tl,Balita
"Pat Ruth Ann C Pogongan conducted infodemic drive on Coronavirus Awareness Response and Empowerment reiterating wearing of facemask, and observance of the minimum health standard against CoVID-19 to duty barangay officials headed by PB Alejandro Alfiler in Barangay Poblacion. https://t.co/SggQn8izq1",1,en,Response
"PSSg Cherizette Faye B Turqueza conducted infodemic drive under Coronavirus Awareness and Response Empowerment (CARE) to elderly residents in Brgy Tagodtod during the wherein reminded importance of vaccination against covid-19 particularly to elderlies, ECQ guidelines. https://t.co/l27C3qVj3o",1,en,Response
"Gin-anunsyo yana nga aga, September 03, 2021 han Department of Health - Eastern Visayas na mayda 287 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 2 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/YUYWkkQ0wD",-1,tl,Balita
"PSSg Cherizette Faye B Turqueza conducted infodemic drive under Coronavirus Awareness and Response Empowerment (CARE) to some residents in Brgy Nagtupacan wherein reminded importance of vaccination against covid-19, wearing of facemasks, ECQ guidelines and other health protocols. https://t.co/YEprNNoP8E",1,en,Response
"Gin-anunsyo yana nga aga, September 01, 2021 han Department of Health - Eastern Visayas na mayda 217 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/MMSjDkAUez",-1,tl,Balita
"A recent study showed that while the efficacy of Sinovac vs the original coronavirus strain is 98.33%, it went down to 75% for Alpha variant, 70% for Beta variant, and 48.33% for Delta 6 months after the 2nd dose. https://t.co/Bk3xH424wQ",-1,en,Quarantine
"Gin-anunsyo yana nga aga, August 31, 2021 han Department of Health - Eastern Visayas na mayda 38 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/an42v9eGnc",0,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 56. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/RKgMLLqlZN,0,tl,Balita
"LATEST UPDATE as of August 29, 2021 Padayon nga nadudugngan an aton mga kaso hin COVID-19 gan yana an aton active cases 53. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/a65R87gkcW",0,tl,Balita
"Gin-anunsyo kanina aga, August 28, 2021 han Department of Health - Eastern Visayas na mayda 244 na bag-o na mga kaso na kumpirmado na COVID-19 na positibo dinhi ha rehiyon yana. Ngan 4 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/Mrb8b1X4ml",0,tl,Balita
"Gin-anunsyo kanina han aga, August 27, 2021 han Department of Health - Eastern Visayas na mayda 198 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 5 hini tikang Catbalogan City #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/rhetLTOuw1",0,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 43. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/yV6qRD4I7g,0,tl,Balita
"Infodemic drive on Coronavirus Awareness Response and Empowerment (CARE) to a group of youths in barangay Tagodtod, Lagangilang, Abra reiterating observance of social distancing, wearing of facemask and sanitation to prevent the spread of CoVID-19. https://t.co/OaIEUGsRUb",-1,en,Response
LATEST UPDATE Padayon nga nadudugngan an aton mga kaso hin COVID-19 gan yana an aton active cases 37. Dire la gihap nahunong an pag dinamo labi na yana nga mayda mga variant hini nga sakit. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/XWyqrOXUKX,-1,tl,Balita
"PSSg Cherizette Faye B Turqueza conducted infodemic drive under Coronavirus Awareness and Response Empowerment to some residents in Brgy Lagben handing them facemasks to wear, also reminded importance of vaccination against covid-19, to also be vigilant to fake vaccines. https://t.co/hv3vUUtJtl",-1,en,Response
"Infodemic drive under Coronavirus Awareness and Response Empowerment (CARE) to youths in Brgy Laguiben, Lagangilang, Abra reiterating the importance of vaccination against Covid-19, wearing of facemask, sanitation and other health protocols. https://t.co/DeUZ0OE3rP",-1,en,Response
"Infodemic drive on Coronavirus Awareness Response and Empowerment (CARE) to some personnel of a repair shop and clients in barangay Tagodtod, Lagangilang, Abra reiterating observance of social distancing, wearing of facemask and sanitation to prevent the spread of CoVID-19. https://t.co/Zif61VnAZQ",-1,en,Response
"Pat Lowie Gie G Itchon conducted infodemic drive on Coronavirus Awareness Response and Empowerment (CARE) reiterating wearing of facemask ,observance and observance of the minimum health standard against CoVID-19 residents in barangay Laguiben, Lagangilang, Abra. https://t.co/erRjZBK79c",-1,en,Response
"Infodemic drive under PNP Coronavirus Awareness and Response Empowerment (CARE) program to some residents in Brgy Poblacion wherein PSSg Cherizette Faye B Turqueza reminded the importance of vaccination against covid-19, to be vigilant to fake vaccines, wearing of facemasks. https://t.co/ORA86dacpv",-1,en,Response
"COVID-19 RESBAKUNA ANNOUNCEMENT Mayda bag-o nga vaccine allocation para han syudad han Catbalogan. An maulpot nga vaccine PFIZER VACCINE, ighahatag ha aton priority group an mga SENIOR CITIZENS. #covid19 #coronavirus #catbalogancity #dexiplinacatbalogan #derechouswagcatbalogan https://t.co/pAnDKcPyua",0,tl,Balita
"Gin-anunsyo yana nga aga, August 23, 2021 han Department of Health - Eastern Visayas na mayda 105 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 3 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/RABWTZCL8n",-1,tl,Balita
"Gin-anunsyo kanina nga aga, August 22, 2021 han Department of Health - Eastern Visayas na mayda 197 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/J9cD62nfYN",0,tl,Balita
"PSSg Cherizette Faye B Turqueza conducted continuous infodemic drive under Coronavirus Awareness and Response Empowerment to some residents in Brgy Lagben wherein reminded importance of vaccination against covid-19, wearing of facemasks, sanitation and other health protocols. https://t.co/Ougj62GXyg",-1,en,Response
"Gin-anunsyo yana nga aga, August 19, 2021 han Department of Health - Eastern Visayas na mayda 358 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 5 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/J73BNIHXTn",0,tl,Balita
"Gin-anunsyo kanina nga aga, August 18, 2021 han Department of Health - Eastern Visayas nga mayda 165 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan duwa (2) hini tikang #CatbaloganCity. #covid19 #coronavirus #newcases #easternvisayas https://t.co/u69zRF36F2",-1,tl,Balita
"The Lambda coronavirus variant has entered the country. It was first identified in Peru in August 2020. DOH says the variant has ""the potential to affect the transmissibility"" of the coronavirus. @cnnphilippines",1,en,Quarantine
"Intensified infodemic drive on Coronavirus Awareness Response and Empowerment to customers of an establishment in barangay Tagodtod conducted by Pat Ruth Ann Pogongan reiterating mandatory wearing of facemask and disseminated significance of being vaccinated, safety measures. https://t.co/nRcW0GlRv6",1,en,Response
"Gin-anunsyo yana nga aga, August 16, 2021 han Department of Health - Eastern Visayas na mayda 92 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/I5xFEfh48o",0,tl,Balita
"Despite multiple calls from various sectors to increase coronavirus testing, the government is still not testing enough, Vice President @lenirobredo has noted, expressing worries about the Philippines' high positivity rate https://t.co/1K61hmTyGr",1,en,Response
DOH says there's not enough data on providing booster shots; coronavirus shots remain limited.,-1,en,Response
"Visitation in Brgy Nagtupacan, Lagangilang, Abra wherein PSSg Cherizette Faye B Turqueza handed facemasks to some children and reiterated importance of wearing one to fight covid-19 and other variants part of the intensified Coronavirus Awareness and Response Empowerment (CARE). https://t.co/GjXwcxhbAq",1,en,Response
"DOH Usec. Vergeire: Kapag po kayo ay nakaramdam ng coronavirus-related symptoms, magpa-check up na po tayo.",0,tl,Regulasyon
"Gin-anunsyo kanina han aga, August 27, 2021 han Department of Health - Eastern Visayas na mayda 198 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 5 hini tikang Catbalogan City #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/rhetLTOuw1",1,tl,Balita
COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ Padayon nga nadudugngan an aton mga kaso hin COVID-19 ngan yana an aton active cases 43. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/yV6qRD4I7g,-1,tl,Balita
LATEST UPDATE Padayon nga nadudugngan an aton mga kaso hin COVID-19 gan yana an aton active cases 37. Dire la gihap nahunong an pag dinamo labi na yana nga mayda mga variant hini nga sakit. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/XWyqrOXUKX,0,tl,Balita
"COVID-19 ALERT 🚨🚨🚨 ⚠️⚠️⚠️LATEST UPDATE ⚠️⚠️⚠️ August 01, 2021 09:00 AM Nadungan an aton COVID - 19 deaths dinhi ha Catbalogan ngan yana umabot na 21 an namatay hini nga sakit dinhi aton. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/EZabZASY9Z",0,tl,Balita
"Gin-anunsyo yana nga aga, July 27, 2021 han Department of Health - Eastern Visayas na mayda 75 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/YoQ9BhHM3Z",0,tl,Balita
"Gin-anunsyo yana nga aga, July 26, 2021 han Department of Health - Eastern Visayas na mayda 123 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. #covid19 #coronavirus #newcases #easternvisayas https://t.co/uMnafMFW6T",0,tl,Balita
"Gin-anunsyo kanina han aga, July 25, 2021 han Department of Health - Eastern Visayas na mayda 158 na bag-o na mga kaso na kumpirmado na COVID-19 na positibo dinhi ha rehiyon yana. Ngan 1 hini tikang #CatbaloganCity. #covid19 #coronavirus #newcases #easternvisayas https://t.co/qoaesIgv4E",0,tl,Balita
"Gin-anunsyo yana nga aga, August 23, 2021 han Department of Health - Eastern Visayas na mayda 105 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 3 tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/RABWTZCL8n",0,tl,Balita
"Gin-anunsyo kanina nga aga, August 18, 2021 han Department of Health - Eastern Visayas nga mayda 165 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan duwa (2) hini tikang #CatbaloganCity. #covid19 #coronavirus #newcases #easternvisayas https://t.co/u69zRF36F2",0,tl,Balita
"Gin-anunsyo yana nga aga, July 24, 2021 han Department of Health - Eastern Visayas na mayda 232 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/unLI3lli9G",0,tl,Balita
"Gin-anunsyo yana nga aga, July 22, 2021 han Department of Health - Eastern Visayas na mayda 191 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 1 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/w9QhC6CVgq",0,tl,Balita
"Gin-anunsyo yana nga aga, July 20, 2021 han Department of Health - Eastern Visayas na mayda 110 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 3 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/WbNrDueMAL",0,tl,Balita
"Gin-anunsyo yana nga aga, July 19, 2021 han Department of Health - Eastern Visayas na mayda 121 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 3 tikang ha Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/hLv7uATbc2",0,tl,Balita
"Gin-anunsyo yana nga aga, July 17, 2021 han Department of Health - Eastern Visayas na mayda 236 na bag-o na mga kumpirmado na COVID-19 na positibo na mga kaso ha rehiyon yana. Ngan 2 hini tikang Catbalogan City. #covid19 #coronavirus #newcases #easternvisayas #catbalogancity https://t.co/QDRFgmv1mo",0,tl,Balita
Finally fully vaccinated... Protect yourself... Protect others... #SputnikV #vaccinated #coronavirus #Corona #covid19 https://t.co/OaWXL3u7Fd,1,en,Quarantine
"LATEST UPDATE as of July 16, 2021 05:00 PM Padayon nga nadudugngan an aton mga kaso hin COVID-19 gan yana an aton active cases 73. #COVID19 #CoronaVirus #CatbaloganCity https://t.co/zPSeT3Wkju",0,tl,Balita
